2,2,2,12,2,9,9,5,12,5,9,9,9,9,14,15
2,2,3,3,3,3,3,13,12,5,5,5,9,9,11,11
11,12,15,13,0,14,0,3,5,5,1,1,1,0,5,9
12,12,12,14,14,9,15,0,12,12,12,12,12,3,3,9
13,13,11,14,11,11,13,12,9,9,15,5,1,9,2,2
3,9,0,13,1,9,14,1,9,9,3,3,3,9,9,9
1,1,2,2,9,9,9,9,9,9,9,9,9,9,4,1
9,9,5,13,9,9,9,11,11,12,12,8,12,2,12,1
9,9,9,0,0,0,9,9,13,13,13,13,9,8,9,8
11,14,6,12,5,9,1,1,1,5,0,0,12,12,4,12
9,9,9,12,8,2,8,13,9,14,8,14,0,0,9,9
6,5,14,13,5,3,3,3,1,10,13,9,9,9,12,14
12,13,13,13,9,9,9,8,5,2,6,9,9,6,6,4
2,2,2,6,5,0,0,0,0,11,13,13,13,13,12,12
13,13,13,13,11,11,8,12,12,0,5,5,5,5,12,13
5,12,8,15,2,9,9,9,9,9,9,0,0,12,12,15
12,12,12,12,13,5,5,1,3,9,9,9,9,14,14,5
13,14,9,9,9,3,9,12,9,5,9,9,13,13,13,9
12,9,5,9,0,0,0,0,0,0,0,9,11,3,3,13
2,15,12,12,12,12,12,12,12,12,9,9,5,9,9,9
13,12,5,13,13,13,13,13,0,13,13,12,12,12,9,1
0,0,9,9,0,3,13,13,13,13,13,14,3,13,0,9
1,1,5,13,13,13,13,13,13,13,13,9,9,9,5,5
13,9,12,12,12,11,14,8,9,9,9,9,12,12,0,9
5,12,12,14,12,14,5,8,5,5,5,13,9,9,9,1
5,11,4,14,5,8,9,1,1,9,2,13,12,5,0,5
11,11,11,11,11,11,11,11,9,9,11,11,11,12,12,14
9,9,9,9,9,9,9,13,13,1,13,11,11,5,0,15
8,9,9,0,0,0,9,5,13,13,13,10,5,12,2,12
5,5,2,14,12,11,12,0,0,0,0,9,9,9,1,1
11,5,5,0,0,9,9,5,2,13,1,12,13,13,13,9
9,13,9,9,9,9,9,9,1,5,5,3,0,0,9,9
0,9,9,9,9,9,1,2,1,2,9,9,9,8,8,13
4,12,12,9,9,5,2,0,5,5,5,5,5,5,5,12
12,13,9,9,5,12,12,13,2,9,14,5,13,13,13,13
9,9,9,12,1,1,5,9,9,13,5,5,12,9,9,9
2,12,13,12,5,9,9,11,14,14,1,11,9,0,0,0
0,5,9,9,9,9,13,12,13,9,6,9,9,5,9,9
11,9,9,9,9,5,5,13,0,0,2,9,9,8,2,13
13,1,12,0,9,9,0,0,5,2,9,9,13,13,9,9
